"x","y"
215147.892356,938622.081226
215019.203873,938742.232606
211552.434334,938764.939817
209222.206868,938839.732086
207272.03519,938876.358234
210902.366459,938879.149628
206400.21375,938900.538039
216285.169106,938928.014966
202771.971388,938931.195639
210155.351926,938951.414785
208841.80875,938965.16662
207175.455065,938978.983531
208060.702292,938998.858599
210312.528626,939033.621764
215297.497268,939062.108406
211419.13666,939075.617081
203338.719981,939077.048166
211925.742792,939097.587926
215417.172167,939097.725147
207963.301757,939101.430602
212116.340615,939107.167432
196505.027935,939129.142118
209429.202363,939133.125067
206782.075535,939156.106384
203774.243049,939158.908377
200066.604784,939161.825257
207351.724715,939162.380992
199568.239505,939169.800583
210870.31835,939172.886126
208133.456451,939182.401896
202552.94392,939184.05392
204319.058049,939198.301325
203476.169428,939207.520571
215013.281502,939211.018832
215533.703567,939215.300458
215273.168964,939219.925357
200709.653359,939233.306707
203993.30502,939238.003247
215403.552246,939239.940764
204605.178793,939245.610507
197858.133342,939245.951185
196581.463374,939263.707652
203260.912721,939277.874067
199065.130881,939289.639744
203314.005712,939291.239725
201312.378222,939297.705792
208228.68255,939314.50957
200400.120654,939317.514862
197077.147918,939321.859134
196678.187463,939326.946577
190012.053639,939334.551904
191830.06285,939343.472508
201271.641601,939349.616121
201460.924706,939350.033583
205033.932572,939351.30553
190085.576308,939352.214208
190317.802251,939360.380671
214131.512144,939360.664185
192106.492892,939367.053534
206391.31524,939368.972446
202650.484102,939382.03988
193283.041608,939385.60422
201017.063811,939397.967748
202475.746976,939410.211135
189266.649162,939411.173534
203865.582707,939421.353007
217089.094877,939430.03757
198600.83357,939433.230958
206860.226844,939440.476553
189614.945886,939441.513123
200804.201172,939444.941215
208271.530517,939472.222418
202114.47732,939488.049975
195511.749352,939488.373571
209799.021318,939488.522025
202441.460047,939491.594861
200830.799605,939504.679747
203879.79937,939509.598259
203610.357408,939510.871543
200978.028396,939515.906224
196887.061696,939528.727468
203568.008007,939535.219466
189697.323256,939540.606803
195617.673794,939545.851827
207351.245904,939548.082153
195648.225439,939553.269072
195570.626164,939554.074797
216729.246129,939568.613268
203755.564377,939591.091723
191013.472359,939592.61771
201465.067898,939601.126011
199678.597649,939603.416466
203626.150216,939603.488644
211750.442291,939612.783077
191851.717885,939617.086616
207011.362605,939623.672131
183651.158703,939624.40322
199130.669098,939629.399606
204521.814523,939632.055694
186280.370679,939633.84555
195520.097135,939634.043446
195461.7347,939638.52642
198994.98901,939639.772219
207831.856819,939645.773773
195510.602069,939649.658443
206849.579895,939652.019847
203324.101911,939663.860339
201979.359424,939675.544547
206695.193421,939676.359918
191534.235787,939677.182769
213127.439286,939680.896871
203962.070446,939690.972803
206347.356248,939695.041016
216709.921083,939705.758548
184538.304762,939720.195979
212146.48889,939733.713217
201104.438132,939762.712678
196719.749035,939765.160518
201366.690903,939768.314701
188809.755158,939770.593438
206709.881034,939775.645446
207519.175519,939777.146257
206659.422449,939792.757136
206612.671117,939795.68454
206786.483788,939796.473654
208282.578812,939798.895752
190386.233191,939798.913838
179630.294429,939802.923914
196331.958153,939803.807509
206553.362683,939808.306524
206228.923574,939820.149131
183800.392406,939825.566635
189023.322295,939827.91681
179353.723627,939840.214288
180731.547857,939844.012772
187853.607635,939848.245352
208251.89485,939852.689671
187417.182256,939862.863623
189573.027817,939871.335737
207187.206071,939880.701119
185167.107322,939881.855588
207651.539272,939887.804985
201029.665579,939899.6025
196405.281285,939901.815356
189959.548506,939903.966565
188393.288884,939907.410139
201058.944095,939910.05829
208002.807161,939910.676441
205761.315309,939918.251579
200487.484393,939932.666718
212453.461813,939942.708945
204230.869426,939949.43054
194472.767888,939972.655343
186455.278705,939983.55071
177685.291388,939992.572702
201772.567377,940026.255516
192348.396582,940034.341676
215367.70945,940034.795967
216485.082248,940040.849026
206182.924878,940047.146509
199439.179599,940064.029263
177088.755638,940066.936132
216622.408568,940075.454864
201451.436133,940075.575148
209165.045297,940076.170272
183617.56415,940079.835871
198034.68175,940087.743561
208547.736107,940097.701295
216781.313556,940102.786391
193767.767792,940106.615198
191603.454432,940112.636621
179399.693962,940113.72637
206998.179428,940117.933231
195123.831631,940128.336457
187014.866199,940147.366865
192565.487833,940150.771295
176240.252146,940150.814655
205276.491499,940152.85341
204533.155625,940158.121655
218141.042421,940174.848641
208024.336517,940186.703559
205134.226234,940187.09377
192023.184559,940194.703634
201744.09082,940196.109389
196532.233347,940218.444276
167846.469466,940224.758207
207224.27349,940233.240417
214449.967167,940236.645229
201804.154455,940240.559681
186943.067516,940247.03657
211769.323264,940250.143809
196967.372041,940260.362571
197049.919604,940270.859332
202086.737687,940276.228765
164881.42141,940285.106443
205184.109212,940287.258133
212760.267682,940291.070807
204896.562352,940293.803894
216841.332301,940302.379465
204305.741761,940317.039615
184086.434175,940318.510241
206757.090381,940320.011678
201183.192778,940325.647255
196903.002315,940325.775969
164784.907519,940325.808826
196841.116116,940327.94738
199278.212606,940344.046327
201947.486396,940355.007596
213487.082624,940370.893628
201261.507499,940371.100927
200933.758307,940384.191734
214485.077746,940391.200196
202448.612673,940399.970416
189273.266259,940400.643
206385.940621,940405.741891
207833.815767,940423.380282
201622.942272,940424.922839
192489.601625,940426.472137
195800.561654,940432.573441
202119.135378,940435.389011
212242.996234,940441.923639
207307.694139,940446.422221
178955.593447,940454.720633
201025.418142,940460.34201
201205.103501,940461.663513
208384.479904,940462.485176
210742.750288,940464.210408
205794.958945,940464.900038
162862.687324,940464.931767
199401.101438,940469.933672
204353.531018,940476.408793
184441.10007,940488.775764
218253.928414,940495.402599
194704.568347,940498.769978
173627.225283,940503.402794
186710.232413,940515.069154
213186.659349,940517.600988
204563.573763,940520.625471
174475.210008,940522.038621
196561.847764,940524.385748
162232.170088,940538.805946
214545.325219,940543.372526
214801.65742,940545.516687
196796.16228,940548.293253
211424.124667,940558.645037
188521.344775,940559.982822
195582.183134,940560.199337
182381.200561,940562.95964
159471.924657,940563.994468
183790.69593,940567.564103
157954.952887,940570.947391
165290.797119,940577.602877
159312.28508,940578.995588
200138.32142,940579.488003
203005.584529,940583.493411
157757.84083,940593.345139
158450.747366,940597.172701
193338.746287,940613.193871
164724.320417,940613.564109
178417.742957,940617.974357
183779.203706,940625.103055
202242.41057,940647.648716
202398.272942,940647.87412
199087.077265,940653.308082
183899.353806,940655.759366
175490.067698,940657.812933
200786.021584,940660.636841
201766.597537,940663.304892
181244.170805,940665.067811
158004.526201,940666.627384
202893.035872,940672.715571
176901.17471,940677.955962
211831.566631,940692.988314
192774.556793,940697.347492
213452.178028,940698.035919
154831.294166,940699.698128
158701.992677,940700.911114
208994.993723,940708.692464
187296.413584,940711.370485
196919.421662,940716.378526
172239.261436,940717.880157
201345.590165,940718.988513
197163.936953,940724.864277
164534.502048,940732.872083
202541.913906,940738.122399
190023.724556,940743.503184
202979.701346,940761.877991
201540.976793,940769.467685
206200.217534,940783.705845
171060.911354,940787.91666
201092.556608,940788.25274
202339.786151,940789.123627
201859.658181,940805.194916
202678.316769,940805.851476
206718.458948,940807.113714
202020.888768,940808.621987
201264.175042,940818.741364
168457.370133,940821.708991
198258.49953,940825.310498
201165.001632,940827.073026
197781.981939,940833.035822
179889.077334,940840.366782
214938.559901,940843.955399
157562.392968,940844.506484
197606.367788,940848.415423
171690.421781,940848.638968
187584.089857,940854.867175
213616.515969,940855.642006
202250.163835,940859.830734
206505.596346,940862.023839
196252.918136,940862.739834
152279.495971,940863.12798
159187.415517,940864.829794
204638.256109,940868.244561
200654.552734,940872.228404
154658.408595,940873.481788
152453.619356,940875.116113
199165.763245,940878.225386
200889.152289,940885.95049
187023.311311,940897.430217
200497.377594,940898.363233
200373.79756,940899.322842
157038.280617,940910.794069
160605.414899,940912.568768
203392.553083,940912.833846
159987.741972,940915.419075
201202.491046,940918.607582
202720.798404,940930.490777
177949.631752,940940.024617
199766.924833,940942.98256
201306.730844,940949.734038
208557.460019,940950.265897
201821.973059,940962.015331
218233.274499,940962.293692
199197.457081,940965.035392
206542.838533,940966.938115
200623.406209,940970.831495
152209.659346,940972.036752
200579.235941,940973.941269
201450.72584,940974.614236
204625.376598,940983.401341
169603.605747,940984.752478
202151.867552,940989.997131
197576.962352,940998.617532
198604.088091,941004.14644
158799.608394,941012.831224
202255.40362,941013.10994
202768.398013,941013.468446
202874.299549,941016.680887
206435.479062,941020.649668
202989.013501,941022.283517
203110.733378,941030.431479
161633.985429,941031.94371
159000.082731,941036.078798
201318.233034,941039.642699
151872.929299,941041.683883
201981.258413,941042.41987
204499.817882,941048.939573
184676.146391,941050.351546
204813.28133,941054.647645
202480.859518,941055.393812
208831.395133,941058.14777
186395.730256,941059.397826
159193.551998,941061.736904
201119.199837,941064.441596
204284.613831,941084.592702
158146.702311,941097.438571
178891.68514,941098.409244
200850.089708,941101.123629
188839.016607,941104.819058
200492.444347,941107.547361
212352.468264,941108.48507
202731.656098,941119.868935
212890.495315,941120.893262
163283.3363,941123.492535
171356.930022,941130.088162
204576.634318,941130.099233
202841.469145,941133.303246
202962.16878,941133.963065
203086.281436,941135.794171
155152.787203,941139.103769
200640.385278,941141.306036
187322.988816,941147.300739
152248.460434,941158.896073
199877.165569,941159.775996
195477.591068,941161.88862
200573.600171,941162.410993
201986.847006,941162.638208
185054.439126,941163.179823
191780.127151,941165.204942
197493.787691,941169.121517
201451.392657,941171.484285
193451.3452,941173.877821
197105.897407,941176.43986
174851.72223,941178.984551
144816.645345,941180.917996
153323.397355,941183.347429
144660.169868,941198.513835
156280.207666,941199.765547
202493.807609,941211.259052
197747.137658,941211.66517
214642.921345,941214.57458
215250.011665,941215.126827
152434.183393,941219.360404
199848.366965,941221.579702
167259.582196,941223.071959
160294.800428,941223.340303
201536.708503,941234.124165
216019.695565,941235.00572
202606.325714,941235.934324
201218.607252,941238.753745
148742.12835,941242.10635
203054.080496,941246.050917
175048.67965,941246.851584
198975.005228,941247.583285
202716.002421,941249.922602
188870.9428,941251.457682
200807.923211,941252.913665
202825.015928,941253.790799
216980.151506,941255.053756
159363.424108,941255.813005
198080.929747,941255.904181
200109.565723,941257.656042
199944.232441,941258.581196
200142.933518,941262.383991
217192.469272,941262.946989
